Job Id,Qualifications,Work Type,Company Size,Job Posting Date,Job Title,Benefits,skills,Company,Min salary,Max Salary,Min Experience,Max Experience
579575048679091,MCA,Temporary,126334,2023-06-07,Network Engineer,"{'Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling'}",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,Lendlease Group,59,117,3,9
288941837754490,B.Tech,Intern,35869,2021-09-23,Landscape Architect,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}",Urban design and planning Zoning regulations GIS and mapping tools,United Technologies Corporation,57,117,4,15
2802376880223274,B.Tech,Intern,80163,2023-05-20,UX Researcher,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",User experience strategy User journey mapping Design thinking,International Flavors & Fragrances,63,90,0,9
2393222411935908,MCA,Intern,79017,2023-03-19,HR Coordinator,"{'Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts'}",Employee benefits administration Benefits compliance HRIS Benefits communication,KeyCorp,55,124,5,11
2402523179167443,MCA,Intern,65144,2022-11-02,Landscape Architect,"{'Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development'}",Environmental design principles Sustainability concepts CAD and design software,Exelon,65,91,0,10
2429224065703046,B.Com,Part-Time,49989,2022-06-21,UX/UI Designer,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",Zoetis,56,87,4,10
1167270963119935,M.Com,Contract,131825,2023-05-23,UI Developer,"{'Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)'}","Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",Southwest Airlines,55,110,0,8
1269600252034514,B.Com,Full-Time,127065,2022-04-10,Event Planner,"{'Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave'}",Wedding planning Venue selection Catering and menu planning Floral and decor design Wedding etiquette,Diageo,56,99,5,13
665688551170300,PhD,Part-Time,21532,2023-06-17,Interior Designer,"{'Legal Assistance, Bonuses and Incentive Programs, Wellness Programs, Employee Discounts, Retirement Plans'}",Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering,PBF Energy,62,90,1,11
1705438618009444,B.Tech,Intern,40540,2022-11-12,Art Teacher,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Artistic skills Teaching ability Communication skills Art history knowledge Creativity,China Merchants Bank,55,126,2,13
1632474913460047,MBA,Full-Time,39614,2022-05-30,Systems Administrator,"{'Health Insurance, Retirement Plans, Flexible Work Arrangements, Employee Assistance Programs (EAP), Bonuses and Incentive Programs'}","Database management systems (e.g., MySQL, Oracle, SQL Server) Data security Database tuning and optimization Backup and recovery",Live Nation Entertainment,63,101,3,14
1675992679811836,B.Com,Contract,47942,2022-07-21,Psychologist,"{'Tuition Reimbursement, Stock Options or Equity Grants, Parental Leave, Wellness Programs, Childcare Assistance'}",Research methodology Data analysis Psychological studies Writing research reports Critical thinking,Booking Holdings,58,112,5,8
1468492446729552,BBA,Temporary,48548,2022-03-27,Account Executive,"{'Health Insurance, Retirement Plans, Paid Time Off (PTO), Flexible Work Arrangements, Employee Assistance Programs (EAP)'}",Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge,Segro,55,116,4,12
